Customer ID,Dining Preference,Room Preference,Sports Activities,Wellness,Pricing Pattern
1,Non-Vegetarian,Standard,None,Gym,Luxury
2,Vegan,Suite,Swimming,Sauna,Luxury
3,Non-Vegetarian,Deluxe,Golf,Massage,Frugal
4,Non-Vegetarian,Suite,Swimming,None,Frugal
5,Vegetarian,Standard,Golf,Sauna,Luxury
6,Vegan,Standard,None,Massage,Frugal
7,Vegetarian,Standard,Golf,Sauna,Luxury
8,Non-Vegetarian,Deluxe,Table Tennis,None,Luxury
9,Vegetarian,Suite,None,None,Luxury
10,Vegan,Suite,None,None,Luxury
11,Non-Vegetarian,Suite,Golf,Massage,Frugal
12,Vegetarian,Standard,None,Gym,Luxury
13,Vegetarian,Suite,Swimming,Sauna,Luxury
14,Vegetarian,Standard,None,None,Luxury
15,Non-Vegetarian,Deluxe,Swimming,Gym,Luxury
16,Non-Vegetarian,Standard,Golf,Gym,Frugal
17,Vegan,Standard,Swimming,Sauna,Frugal
18,Vegan,Standard,None,Massage,Luxury
19,Vegetarian,Suite,None,Gym,Frugal
20,Vegetarian,Deluxe,Table Tennis,Sauna,Frugal
21,Non-Vegetarian,Suite,Golf,Gym,Luxury
22,Vegan,Suite,Table Tennis,None,Frugal
23,Non-Vegetarian,Deluxe,Table Tennis,Sauna,Luxury
24,Non-Vegetarian,Deluxe,Swimming,Sauna,Frugal
25,Vegan,Standard,Table Tennis,Gym,Frugal
26,Vegan,Suite,Table Tennis,Massage,Luxury
27,Non-Vegetarian,Deluxe,Table Tennis,Massage,Frugal
28,Vegetarian,Deluxe,Table Tennis,None,Frugal
29,Non-Vegetarian,Suite,None,Sauna,Luxury
30,Vegan,Standard,Swimming,Gym,Frugal
31,Vegetarian,Deluxe,Golf,None,Frugal
32,Vegetarian,Standard,Table Tennis,None,Frugal
33,Vegetarian,Standard,Golf,Gym,Frugal
34,Non-Vegetarian,Suite,None,Gym,Luxury
35,Non-Vegetarian,Suite,Table Tennis,Massage,Frugal
36,Non-Vegetarian,Standard,Swimming,Sauna,Luxury
37,Vegetarian,Deluxe,None,Sauna,Luxury
38,Vegan,Deluxe,Golf,Sauna,Luxury
39,Vegan,Standard,Table Tennis,Gym,Luxury
40,Vegan,Standard,None,Massage,Frugal
41,Non-Vegetarian,Suite,Swimming,None,Luxury
42,Non-Vegetarian,Standard,Table Tennis,None,Luxury
43,Non-Vegetarian,Standard,Swimming,Massage,Luxury
44,Non-Vegetarian,Standard,None,Massage,Frugal
45,Non-Vegetarian,Suite,Table Tennis,Sauna,Frugal
46,Vegetarian,Suite,None,Massage,Frugal
47,Vegetarian,Suite,Golf,None,Frugal
48,Non-Vegetarian,Standard,Swimming,Massage,Luxury
49,Non-Vegetarian,Standard,Golf,Massage,Luxury
50,Non-Vegetarian,Standard,Swimming,None,Frugal
51,Vegetarian,Deluxe,Swimming,Sauna,Frugal
52,Non-Vegetarian,Deluxe,Golf,Gym,Luxury
53,Vegetarian,Deluxe,Golf,None,Frugal
54,Vegan,Standard,Swimming,Sauna,Luxury
55,Non-Vegetarian,Deluxe,Swimming,Massage,Luxury
56,Non-Vegetarian,Standard,None,Massage,Frugal
57,Vegetarian,Standard,None,None,Luxury
58,Vegan,Suite,None,Massage,Luxury
59,Vegetarian,Standard,Table Tennis,Sauna,Frugal
60,Non-Vegetarian,Deluxe,Table Tennis,None,Frugal
61,Non-Vegetarian,Suite,Golf,Sauna,Frugal
62,Non-Vegetarian,Standard,Swimming,Gym,Frugal
63,Vegan,Standard,Golf,Sauna,Luxury
64,Non-Vegetarian,Standard,Table Tennis,Massage,Luxury
65,Non-Vegetarian,Deluxe,None,Sauna,Luxury
66,Non-Vegetarian,Deluxe,None,Sauna,Luxury
67,Non-Vegetarian,Standard,Swimming,Sauna,Luxury
68,Non-Vegetarian,Suite,Table Tennis,None,Frugal
69,Vegan,Suite,Golf,None,Luxury
70,Vegan,Standard,Swimming,Massage,Frugal
71,Non-Vegetarian,Standard,Table Tennis,Sauna,Frugal
72,Non-Vegetarian,Deluxe,Golf,Gym,Frugal
73,Vegan,Deluxe,None,Gym,Frugal
74,Non-Vegetarian,Suite,None,Sauna,Luxury
75,Non-Vegetarian,Suite,None,Massage,Luxury
76,Vegetarian,Deluxe,Table Tennis,None,Frugal
77,Vegetarian,Standard,None,Gym,Luxury
78,Non-Vegetarian,Deluxe,Golf,Sauna,Luxury
79,Vegetarian,Standard,Swimming,Gym,Luxury
80,Vegan,Suite,Table Tennis,Massage,Frugal
